date,close,volume,open,high,low,symbol
2020-07-23,122.93,11010220,127.74,129.8494,121.32,SQ
2020-07-22,129.18,8437494,127.49,131.71,127.06,SQ
2020-07-21,126.99,10787520,129.95,130.8,125.07,SQ
2020-07-20,128.39,12423990,121.26,129.46,120.53,SQ
2020-07-17,120.73,6968161,120.98,122.38,118.59,SQ
2020-07-16,119.95,11827550,119.94,123.3,117.55,SQ
2020-07-15,122.2,9606889,124.01,124.48,117.66,SQ
2020-07-14,121.24,17175130,118.59,121.8536,111.14,SQ
2020-07-13,118.65,18489530,131.05,133.24,116.67,SQ
2020-07-10,128.05,11260840,128.39,129.6,125.255,SQ
2020-07-09,129.39,21959350,132.54,133.81,127.67,SQ
2020-07-08,133.35,25627380,127.2,133.43,127.0,SQ
2020-07-07,125.6,28573940,121.2,129.84,120.03,SQ
2020-07-06,118.97,34424020,118.79,128.36,118.03,SQ
2020-07-02,113.39,15066350,118.0,118.78,113.23,SQ
2020-07-01,115.9,22480940,106.92,117.13,106.54,SQ
2020-06-30,104.94,7605064,103.5,105.3,102.8875,SQ
2020-06-29,103.68,9210828,105.15,105.28,101.22,SQ
2020-06-26,104.3,19759110,105.03,107.84,102.5176,SQ
2020-06-25,104.78,13569790,102.46,106.15,101.286,SQ
2020-06-24,100.88,13250380,104.0,105.7492,98.93,SQ
2020-06-23,104.75,14042840,105.0,106.36,103.05,SQ
2020-06-22,104.22,17116980,99.74,105.46,99.25,SQ
2020-06-19,97.98,13879790,100.1,102.26,97.92,SQ
2020-06-18,98.27,8766867,97.0,98.6499,95.82,SQ
2020-06-17,97.03,17113700,94.78,100.0,94.7,SQ
2020-06-16,94.74,13026440,93.07,95.8681,92.56,SQ
2020-06-15,91.0,9813033,84.79,91.3,84.06,SQ
2020-06-12,86.72,9937283,89.02,89.18,84.25,SQ
2020-06-11,86.09,14754700,87.75,90.0,85.77,SQ
2020-06-10,91.91,9486666,90.26,92.97,89.5,SQ
2020-06-09,89.53,7748990,89.02,91.6538,87.87,SQ
2020-06-08,89.62,8751124,90.5,91.23,88.03,SQ
2020-06-05,89.93,11127650,90.0,91.45,88.067,SQ
2020-06-04,87.72,13368100,90.96,92.9599,86.19,SQ
2020-06-03,91.97,17089220,88.0,92.5496,87.09,SQ
2020-06-02,88.0,18364240,82.96,88.27,82.38,SQ
2020-06-01,82.72,8709651,81.0,83.42,80.12,SQ
2020-05-29,81.08,8329131,79.73,81.95,79.34,SQ
2020-05-28,79.62,9942677,81.02,82.32,79.0,SQ
2020-05-27,81.02,11637080,80.04,81.14,76.02,SQ
2020-05-26,80.79,9682757,83.98,84.09,80.5,SQ
2020-05-22,81.49,6262001,81.23,82.49,80.83,SQ
2020-05-21,81.49,10082070,79.5,81.7,78.76,SQ
2020-05-20,82.04,10152180,81.5,83.1,80.52,SQ
2020-05-19,79.25,14225550,76.45,82.14,76.25,SQ
2020-05-18,76.63,16255260,78.7,81.35,76.44,SQ
2020-05-15,80.26,16311990,77.75,81.13,76.65,SQ
2020-05-14,78.2,16038940,72.17,78.25,71.07,SQ
2020-05-13,73.79,13970120,75.32,75.8,70.82,SQ
2020-05-12,75.21,17015470,76.0,77.39,74.31,SQ
2020-05-11,74.9,12720570,75.7,75.9027,74.36,SQ
2020-05-08,76.05,20041140,72.04,76.4,72.0,SQ
2020-05-07,74.62,31027020,69.86,76.8,69.58,SQ
2020-05-06,68.1,16202940,67.32,69.81,67.12,SQ
2020-05-05,66.69,12011490,66.0,68.59,65.21,SQ
2020-05-04,63.69,7556932,61.34,64.17,61.09,SQ
2020-05-01,63.0,10042420,62.84,63.9095,61.44,SQ
2020-04-30,65.14,10525870,65.0,66.89,64.72,SQ
2020-04-29,65.77,14387330,63.44,66.72,63.39,SQ
2020-04-28,61.75,11852090,64.17,65.025,60.9,SQ
2020-04-27,63.55,10241680,63.61,64.24,61.81,SQ
2020-04-24,62.01,9628491,62.23,62.56,61.04,SQ
2020-04-23,61.82,13098760,61.31,63.5,60.9209,SQ
2020-04-22,60.96,13461030,59.35,61.25,58.01,SQ
2020-04-21,57.4,15333930,60.0,60.44,56.86,SQ
2020-04-20,61.06,14342420,59.44,63.59,59.15,SQ
2020-04-17,61.09,14044770,59.5,61.44,58.7,SQ
2020-04-16,57.32,19879170,58.1,59.3,56.63,SQ
2020-04-15,61.38,12468780,59.67,61.76,59.33,SQ
2020-04-14,62.41,17905480,60.02,62.61,59.6145,SQ
2020-04-13,59.42,15199520,60.1,60.1,56.12,SQ
2020-04-09,59.21,30870890,58.88,64.94,58.5,SQ
2020-04-08,57.04,24785130,51.81,57.75,51.81,SQ
2020-04-07,50.31,17104990,54.78,54.91,49.7,SQ
2020-04-06,50.42,25521720,47.22,51.1,46.19,SQ
2020-04-03,43.72,18748620,46.02,46.68,42.33,SQ
2020-04-02,45.88,12871450,46.33,48.03,45.0,SQ
2020-04-01,46.81,16596390,49.78,50.01,46.05,SQ
2020-03-31,52.38,18349360,54.69,55.24,51.135,SQ
2020-03-30,55.0,12054280,52.9,55.44,51.5301,SQ
2020-03-27,53.34,14655620,54.0,54.4173,51.48,SQ
2020-03-26,56.03,23628720,53.79,59.25,53.78,SQ
2020-03-25,52.39,34929310,50.29,58.1,49.53,SQ
2020-03-24,46.31,26174690,43.5,48.88,42.56,SQ
2020-03-23,40.01,21783450,38.47,40.55,36.11,SQ
2020-03-20,38.09,26896770,41.85,43.84,37.8,SQ
2020-03-19,40.0,24555610,40.18,47.42,37.0,SQ
2020-03-18,39.5,27154640,41.03,42.0805,32.33,SQ
2020-03-17,44.73,22695550,43.79,45.2917,39.0,SQ
2020-03-16,41.27,27721250,49.25,49.25,40.0,SQ
2020-03-13,57.77,14666100,56.74,57.79,52.31,SQ
2020-03-12,53.57,19529240,55.0,58.045,52.9701,SQ
2020-03-11,62.44,13632440,66.35,66.35,60.82,SQ
2020-03-10,67.24,11806910,68.32,68.56,63.37,SQ
2020-03-09,65.73,16418440,67.21,67.41,63.33,SQ
2020-03-06,73.09,16409450,75.03,75.94,70.27,SQ
2020-03-05,76.32,11269410,77.78,79.02,75.66,SQ
2020-03-04,79.26,13374580,78.35,79.49,75.82,SQ
2020-03-03,78.84,18049730,80.49,80.6,75.81,SQ
2020-03-02,80.67,17800000,82.8,84.42,79.57,SQ
2020-02-28,83.33,23486740,76.44,84.15,76.42,SQ
2020-02-27,79.31,35935010,81.39,85.9354,79.05,SQ
2020-02-26,76.59,11305000,77.68,79.0775,76.0,SQ
2020-02-25,77.05,9425262,80.74,81.3999,75.79,SQ
2020-02-24,80.21,11071530,76.57,80.8451,76.07,SQ
2020-02-21,83.49,7744995,85.63,86.21,82.725,SQ
2020-02-20,85.7,12070030,85.23,87.25,80.3,SQ
2020-02-19,85.24,9115010,83.01,86.48,82.93,SQ
2020-02-18,82.42,4730556,81.68,82.98,81.3508,SQ
2020-02-14,81.86,5073161,81.39,82.59,81.01,SQ
2020-02-13,80.99,6872117,79.3,82.54,79.08,SQ
2020-02-12,80.0,3574922,80.01,80.9059,79.61,SQ
2020-02-11,79.88,3973060,80.56,81.45,79.61,SQ
2020-02-10,80.17,4150161,79.6,80.62,78.9,SQ
2020-02-07,78.86,4650625,77.8,80.0,77.34,SQ
2020-02-06,78.51,6172287,78.66,79.2,77.8217,SQ
2020-02-05,78.25,10671600,81.98,82.1,77.84,SQ
2020-02-04,80.9,10405830,79.9,81.68,79.25,SQ
2020-02-03,79.8,15190120,74.89,79.805,74.6,SQ
2020-01-31,74.69,7514187,75.8,76.38,74.33,SQ
2020-01-30,76.1,8730012,75.42,76.39,74.06,SQ
2020-01-29,76.16,11956270,74.5,77.07,74.24,SQ
2020-01-28,74.8,15597160,71.47,74.98,71.03,SQ
2020-01-27,71.05,11085080,68.39,72.45,68.34,SQ
2020-01-24,71.14,10976680,70.63,71.92,70.02,SQ
2020-07-23,202.54,67457040,207.19,210.92,202.15,MSFT
2020-07-22,211.75,49605690,209.2,212.3,208.39,MSFT
2020-07-21,208.75,38105780,213.66,213.94,208.03,MSFT
2020-07-20,211.6,36884840,205.0,212.3,203.01,MSFT
2020-07-17,202.88,31635280,204.47,205.04,201.39,MSFT
2020-07-16,203.92,29940650,205.4,205.7,202.31,MSFT
2020-07-15,208.04,32179410,209.56,211.33,205.03,MSFT
2020-07-14,208.35,37591820,206.13,208.85,202.03,MSFT
2020-07-13,207.07,38135610,214.48,215.8,206.5,MSFT
2020-07-10,213.67,26177630,213.62,214.08,211.08,MSFT
